//コマンド,敵の番号,p1,p2,p3
//縦左
//
POP,1,-20,10,0
POP,1,-20,5,0
POP,1,-20,0,0
POP,1,-20,-5,0
POP,1,-20,-10,0
//
//縦右
//
POP,2,-5,10,0
POP,2,-5,5,0
POP,2,-5,0,0
POP,2,-5,-5,0
POP,2,-5,-10,0
//
ITEM,1,-10,10,0
//
ZERO
//
//斜め左上
//
POP,3,-30,0,0
POP,3,-25,5,0
POP,3,-20,10,0
POP,3,-15,15,0
//
ITEM,2,-20,0,0
//
ZERO
//
//斜め右下
//
POP,4,0,0,0
POP,4,-5,-5,0
POP,4,-10,-10,0
POP,4,-15,-15,0
//
ZERO
//
//横真ん中
//
POP,5,-5,0,0
POP,5,-10,0,0
POP,5,-15,0,0
POP,5,-20,0,0
POP,5,-25,0,0
//
ZERO
//
//縦真ん中
//
POP,6,0,10,0
POP,6,0,5,0
POP,6,0,0,0
POP,6,0,-5,0
POP,6,0,-10,0
END
